日期,銀行,幣別代碼,現金買入,現金賣出,即期買入,即期賣出
2025-10-01,台北富邦,USD,30.2800,30.4400,30.0200,30.6600
2025-10-01,台北富邦,CNY,4.2180,4.2780,4.0830,4.3080
2025-10-01,台北富邦,JPY,0.2029,0.2079,0.2002,0.2106
2025-10-01,台北富邦,EUR,35.4110,35.9310,35.0462,36.3122
2025-10-01,台北富邦,HKD,3.8634,3.9414,3.7974,3.9814
2025-10-01,台北富邦,AUD,19.8949,20.2749,19.6349,20.5149
2025-10-01,台北富邦,ZAR,1.7000,1.8200,-,-
2025-10-01,台北富邦,CAD,21.5675,21.9675,21.2620,22.2720
2025-10-01,台北富邦,GBP,40.6369,41.2669,-,-
2025-10-01,台北富邦,SGD,23.3968,23.7768,-,-
2025-10-01,台北富邦,CHF,37.9763,38.4963,-,-
2025-10-01,台北富邦,NZD,17.5457,17.9257,-,-
2025-10-01,台北富邦,SEK,3.1869,3.3069,-,-
2025-10-01,台北富邦,THB,0.9078,0.9678,-,-
2025-10-01,元大銀行,USD,30.3200,30.4560,30.0700,30.6840
2025-10-01,元大銀行,CNY,4.2330,4.2830,4.1330,4.3190
2025-10-01,元大銀行,JPY,0.2044,0.2076,0.2002,0.2098
2025-10-01,元大銀行,EUR,35.5100,35.8300,35.1100,36.2100
2025-10-01,元大銀行,HKD,3.8780,3.9300,3.8090,3.9650
2025-10-01,元大銀行,AUD,19.9750,20.1750,-,-
2025-10-01,元大銀行,NZD,17.6300,17.8300,-,-
2025-10-01,元大銀行,ZAR,1.7034,1.8334,-,-
2025-10-01,元大銀行,CAD,21.6600,21.8600,-,-
2025-10-01,元大銀行,GBP,40.6950,41.0950,-,-
2025-10-01,元大銀行,SGD,23.4950,23.6550,-,-
2025-10-01,元大銀行,CHF,38.0900,38.3100,-,-
2025-10-01,元大銀行,SEK,3.1960,3.2760,-,-
2025-10-01,元大銀行,THB,0.9100,0.9600,-,-
2025-10-01,台灣銀行,USD,30.255,30.405,29.935,30.605
2025-10-01,台灣銀行,HKD,3.858,3.928,3.737,3.941
2025-10-01,台灣銀行,GBP,40.610,41.240,39.72,41.82
2025-10-01,台灣銀行,AUD,19.855,20.200,19.64,20.42
2025-10-01,台灣銀行,CAD,21.585,21.915,21.255,22.155
2025-10-01,台灣銀行,SGD,23.435,23.655,22.965,23.875
2025-10-01,台灣銀行,CHF,37.95,38.34,37.34,38.54
2025-10-01,台灣銀行,JPY,0.2028,0.2078,0.1960,0.2090
2025-10-01,台灣銀行,ZAR,1.712,1.802,-,-
2025-10-01,台灣銀行,SEK,3.175,3.295,-,-
2025-10-01,台灣銀行,NZD,17.545,17.845,17.215,18.065
2025-10-01,台灣銀行,THB,0.9183,0.9643,0.8079,0.9979
2025-10-01,台灣銀行,PHP,-,-,0.4522,0.5842
2025-10-01,台灣銀行,IDR,-,-,0.00144,0.00214
2025-10-01,台灣銀行,EUR,35.345,35.945,34.835,36.165
2025-10-01,台灣銀行,KRW,-,-,0.01963,0.02353
2025-10-01,台灣銀行,VND,-,-,0.00089,0.00130
2025-10-01,台灣銀行,MYR,-,-,6.159,7.684
2025-10-01,台灣銀行,CNY,4.216,4.276,4.149,4.311
2025-10-01,永豐銀行,USD,-,30.2600,30.3690,30.0600
2025-10-01,永豐銀行,JPY,-,0.2033,0.2070,0.2003
2025-10-01,永豐銀行,HKD,-,3.8677,3.9219,3.8277
2025-10-01,永豐銀行,EUR,-,35.3531,35.7268,35.0031
2025-10-01,永豐銀行,GBP,-,40.5382,40.9590,-
2025-10-01,永豐銀行,CHF,-,37.8578,38.1385,-
2025-10-01,永豐銀行,AUD,-,19.8871,20.1215,-
2025-10-01,永豐銀行,SGD,-,23.3975,23.6105,-
2025-10-01,永豐銀行,SEK,-,3.1871,3.2472,-
2025-10-01,永豐銀行,CAD,-,21.6033,21.7910,-
2025-10-01,永豐銀行,THB,-,0.9139,0.9529,-
2025-10-01,永豐銀行,ZAR,-,1.7234,1.7871,-
2025-10-01,永豐銀行,NZD,-,17.5481,17.7643,-
2025-10-01,永豐銀行,MOP,-,3.7100,3.8418,-
2025-10-01,永豐銀行,CNY,-,4.2151,4.2746,4.1331
2025-10-01,永豐銀行,CNH,-,4.2151,4.2655,-
2025-10-01,玉山銀行,USD,30.300,30.400,30.050,30.600
2025-10-01,玉山銀行,CNY,4.226,4.276,4.150,4.310
2025-10-01,玉山銀行,HKD,3.863,3.923,3.793,3.953
2025-10-01,玉山銀行,JPY,0.2036,0.2076,0.2026,0.2096
2025-10-01,玉山銀行,EUR,35.480,35.880,35.180,36.180
2025-10-01,玉山銀行,AUD,19.960,20.180,19.670,20.470
2025-10-01,玉山銀行,CAD,21.670,21.850,21.360,22.160
2025-10-01,玉山銀行,GBP,40.740,41.140,40.440,41.440
2025-10-01,玉山銀行,ZAR,1.708,1.808,-,-
2025-10-01,玉山銀行,NZD,17.590,17.830,-,-
2025-10-01,玉山銀行,CHF,38.030,38.290,-,-
2025-10-01,玉山銀行,SEK,3.202,3.262,-,-
2025-10-01,玉山銀行,SGD,23.490,23.650,-,-
2025-10-01,玉山銀行,MXN,1.602,1.682,-,-
2025-10-01,玉山銀行,THB,0.919,0.959,-,-
2025-10-01,國泰世華,USD,30.3200,30.4400,30.3500,30.4100
2025-10-01,國泰世華,EUR,35.4200,35.9200,35.4800,35.8600
2025-10-01,國泰世華,JPY,0.2032,0.2082,0.2042,0.2072
2025-10-01,國泰世華,CNY,4.2120,4.2870,4.2220,4.2770
2025-10-01,國泰世華,HKD,3.8630,3.9330,3.8730,3.9230
2025-10-01,國泰世華,AUD,19.9200,20.1800,19.9500,20.1500
2025-10-01,國泰世華,NZD,17.5600,17.8600,17.5800,17.8400
2025-10-01,國泰世華,ZAR,1.7000,1.8200,1.7050,1.8150
2025-10-01,國泰世華,CAD,21.5700,21.9700,21.6000,21.9400
2025-10-01,國泰世華,GBP,40.6400,41.2600,40.7000,41.2000
2025-10-01,國泰世華,CHF,37.9400,38.4600,37.9700,38.4300
2025-10-01,國泰世華,SEK,3.1820,3.3020,3.1920,3.2920
2025-10-01,國泰世華,SGD,23.4200,23.7200,23.4500,23.6900
2025-10-01,國泰世華,THB,0.9070,0.9670,0.9100,0.9640
2025-10-01,國泰世華,DKK,4.6900,4.8500,4.7000,4.8400
2025-10-01,國泰世華,TRY,0.3600,1.0800,0.3900,1.0500
2025-10-01,台新銀行,USD,-,30.2690,30.4290,30.0970
2025-10-01,台新銀行,JPY,-,0.2036,0.2071,0.2016
2025-10-01,台新銀行,CNY,-,4.2276,4.2736,4.1586
2025-10-01,台新銀行,EUR,-,35.4740,35.8240,35.1410
2025-10-01,台新銀行,HKD,-,3.8748,3.9248,3.8298
2025-10-01,台新銀行,AUD,-,19.9360,20.1560,19.6540
2025-10-01,台新銀行,CAD,-,21.6370,21.8770,21.3470
2025-10-01,台新銀行,NZD,-,17.5780,17.8180,17.3730
2025-10-01,台新銀行,SGD,-,23.4270,23.6870,23.1270
2025-10-01,台新銀行,CHF,-,37.9760,38.3560,-
2025-10-01,台新銀行,GBP,-,40.7070,41.1470,-
2025-10-01,台新銀行,SEK,-,3.2003,3.2603,-
2025-10-01,台新銀行,ZAR,-,1.7204,1.8004,-
2025-10-01,台新銀行,THB,-,0.9196,0.9556,-
2025-10-02,台北富邦,USD,30.2950,30.4550,30.0350,30.6750
2025-10-02,台北富邦,CNY,4.2230,4.2830,4.0880,4.3180
2025-10-02,台北富邦,JPY,0.2032,0.2082,0.2005,0.2109
2025-10-02,台北富邦,EUR,35.4310,35.9510,35.0662,36.3222
2025-10-02,台北富邦,HKD,3.8654,3.9434,3.7994,3.9834
2025-10-02,台北富邦,AUD,19.9,20.28,19.64,20.54
2025-10-02,台北富邦,ZAR,1.7032,1.8232,-,-
2025-10-02,台北富邦,CAD,21.5750,21.9750,21.2670,22.2825
2025-10-02,台北富邦,GBP,40.6519,41.2819,-,-
2025-10-02,台北富邦,SGD,23.4018,23.7818,-,-
2025-10-02,台北富邦,CHF,37.9813,38.5013,-,-
2025-10-02,台北富邦,NZD,17.55,17.93,-,-
2025-10-02,台北富邦,SEK,3.1889,3.3089,-,-
2025-10-02,台北富邦,THB,0.9093,0.9693,-,-
2025-10-02,元大銀行,USD,30.3350,30.4710,30.0850,30.6990
2025-10-02,元大銀行,CNY,4.2350,4.2850,4.1350,4.3210
2025-10-02,元大銀行,JPY,0.2046,0.2078,0.2004,0.2100
2025-10-02,元大銀行,EUR,35.5250,35.8450,35.1250,36.2350
2025-10-02,元大銀行,HKD,3.8810,3.9330,3.8120,3.9680
2025-10-02,元大銀行,AUD,19.9820,20.1820,-,-
2025-10-02,元大銀行,NZD,17.6350,17.8350,-,-
2025-10-02,元大銀行,ZAR,1.7059,1.8359,-,-
2025-10-02,元大銀行,CAD,21.6700,21.8700,-,-
2025-10-02,元大銀行,GBP,40.7000,41.1000,-,-
2025-10-02,元大銀行,SGD,23.5020,23.6620,-,-
2025-10-02,元大銀行,CHF,38.0950,38.3150,-,-
2025-10-02,元大銀行,SEK,3.1980,3.2780,-,-
2025-10-02,元大銀行,THB,0.9120,0.9620,-,-
2025-10-02,台灣銀行,USD,30.270,30.420,29.945,30.620
2025-10-02,台灣銀行,HKD,3.862,3.932,3.741,3.945
2025-10-02,台灣銀行,GBP,40.620,41.250,39.73,41.83
2025-10-02,台灣銀行,AUD,19.865,20.210,19.65,20.43
2025-10-02,台灣銀行,CAD,21.595,21.925,21.265,22.175
2025-10-02,台灣銀行,SGD,23.442,23.662,22.972,23.882
2025-10-02,台灣銀行,CHF,37.965,38.355,37.355,38.545
2025-10-02,台灣銀行,JPY,0.2031,0.2081,0.1962,0.2092
2025-10-02,台灣銀行,ZAR,1.715,1.805,-,-
2025-10-02,台灣銀行,SEK,3.178,3.298,-,-
2025-10-02,台灣銀行,NZD,17.55,17.85,17.22,18.07
2025-10-02,台灣銀行,THB,0.9198,0.9658,0.8084,0.9984
2025-10-02,台灣銀行,PHP,-,-,0.4552,0.5872
